店舗ID,営業日,会計日時,オーダー日時,会計ID,分類ID,分類名称,メニューID,メニュー名称,主副区別,売価(税込),売価(税抜),原価(税込),原価(税抜),販売数,販売金額(税込),値割引金額,親メニューID,親メニュー名,消費税率区分,ユーザーID
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 22:24:43,2026/02/16 21:06:58,72294732,314443,プレミア限定酒（日本酒）,2711446,（１合）飛露喜　福島県　かすみざけ　　　,0,2500,2273,3000,2778,1,2500,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 22:24:43,2026/02/16 20:37:13,72294732,330876,刺身,2661591,鮮魚五点盛り（二人前）,0,1960,1782,525,487,1,1960,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 22:24:43,2026/02/16 20:34:58,72294732,302254,日本酒,2725503,（１合）大那　栃木県　超辛口純米　キレとスムース,0,1260,1146,270,250,1,1260,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 22:24:43,2026/02/16 20:34:58,72294732,302254,日本酒,766515,2,1,0,0,0,0,1,0,,2725503,（１合）大那　栃木県　超辛口純米　キレとスムース,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 22:24:43,2026/02/16 20:34:58,72294732,302254,日本酒,791693,冷酒,1,0,0,0,0,1,0,,2725503,（１合）大那　栃木県　超辛口純米　キレとスムース,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 19:57:34,72264064,302254,日本酒,2649539,（グラス）五凛　石川県　純米火入　軽やか豊かな味,0,850,773,170,158,2,1700,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 19:57:34,72264064,302254,日本酒,791693,冷酒,1,0,0,0,0,2,0,,2649539,（グラス）五凛　石川県　純米火入　軽やか豊かな味,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 19:26:23,72264064,316799,飲放　焼酎・日本酒,2874123,★放題★（２合）賀茂金秀　広島県　特別純米　爽やかシャープ,0,0,0,572,530,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 18:48:04,72264064,316799,飲放　焼酎・日本酒,2874116,★放題★（２合）勝山戦勝正宗　宮城県　特別純米　濃い透明感,0,0,0,720,667,1,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 18:28:41,72264064,316799,飲放　焼酎・日本酒,2874116,★放題★（２合）勝山戦勝正宗　宮城県　特別純米　濃い透明感,0,0,0,720,667,2,0,,,,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 18:28:41,72264064,316799,飲放　焼酎・日本酒,791693,冷酒,1,0,0,0,0,2,0,,2874116,★放題★（２合）勝山戦勝正宗　宮城県　特別純米　濃い透明感,10,
7fe37e09-6e00-4127-93e8-673498198392,2026/02/16,2026/02/16 20:04:14,2026/02/16 18:14:46,72264064,331941,飲放　お茶割り,2665331,★飲放★　（酒！）黒烏龍茶割り,0,0,0,115,107,1,0,,,,10,
