year_week,category1,subtotal,quantity,構成比
2026-W07,コース,322300.0,62,22.980818182725667
2026-W07,串焼き,272717.0,866,19.44542287414954
2026-W07,単品料理,203387.0,346,14.50201572364265
2026-W07,アルコール,168270.0,246,11.998083386929098
2026-W07,ビール,121055.0,178,8.631532563170511
2026-W07,お通し,81180.0,246,5.78834260029063
2026-W07,サワー,66970.0,109,4.7751330862461625
2026-W07,日本酒,55220.0,41,3.937327893422623
2026-W07,ソフトドリンク,35475.0,113,2.5294586566310677
2026-W07,焼酎,27709.0,40,1.97572290110191
2026-W07,カクテル,19690.0,29,1.4039475954634453
2026-W07,ボトル,9625.0,4,0.6862872324192819
2026-W07,吉野物語【果実酒】1,5500.0,8,0.39216413281101825
2026-W07,果実酒【鬼おろし】,4675.0,7,0.33333951288936553
2026-W07,煮込み,4620.0,15,0.3294178715612553
2026-W07,デザート,2706.0,7,0.19294475334302097
2026-W07,吉野物語【果実酒】2,1375.0,2,0.09804103320275456
2026-W07,飲み放題ドリンク,0.0,179,0.0
