year_week,売上,客数,組数,客単価
2025-W01,2093620.0,254,106,8242.598425196851
2025-W02,937610.0,202,100,4641.633663366337
2025-W03,1088000.0,258,129,4217.054263565891
2025-W04,1150270.0,245,122,4694.9795918367345
2025-W05,986490.0,188,101,5247.287234042553
2025-W06,875710.0,211,123,4150.284360189574
2025-W07,1000840.0,203,117,4930.246305418719
2025-W08,1216498.0,224,126,5430.794642857143
2025-W09,1231372.0,218,131,5648.495412844037
2025-W10,944520.0,169,106,5588.87573964497
2025-W11,709520.0,143,92,4961.6783216783215
2025-W12,1206360.0,202,111,5972.079207920792
2025-W13,1002175.0,164,87,6110.823170731707
2025-W14,1174040.0,220,114,5336.545454545455
2025-W15,1037050.0,207,120,5009.903381642512
2025-W16,1044020.0,222,123,4702.792792792793
2025-W17,1283410.0,223,151,5755.201793721973
2025-W18,1140264.0,248,133,4597.8387096774195
2025-W19,1219657.0,214,121,5699.3317757009345
2025-W20,801840.0,188,108,4265.106382978724
2025-W21,1200145.0,250,134,4800.58
2025-W22,1237091.0,225,118,5498.182222222223
2025-W23,858700.0,194,121,4426.288659793814
2025-W24,1560830.0,247,140,6319.14979757085
2025-W25,1275950.0,226,124,5645.796460176991
2025-W26,1310010.0,248,131,5282.298387096775
2025-W27,1822190.0,277,134,6578.303249097473
2025-W28,1889333.0,269,157,7023.542750929368
2025-W29,2839440.0,345,238,8230.260869565218
2025-W30,2320630.0,288,199,8057.743055555556
2025-W31,1972560.0,290,184,6801.931034482759
2025-W32,1219030.0,192,133,6349.114583333333
2025-W33,1619060.0,239,141,6774.309623430962
2025-W34,1091192.0,185,114,5898.335135135135
2025-W35,1258218.0,246,131,5114.707317073171
2025-W36,706910.0,157,92,4502.611464968153
2025-W37,632900.0,168,91,3767.2619047619046
2025-W38,847645.0,235,117,3607.0
2025-W39,1167195.0,245,151,4764.061224489796
2025-W40,1017280.0,250,138,4069.12
2025-W41,1226710.0,254,134,4829.566929133858
2025-W42,1431915.0,225,139,6364.066666666667
2025-W43,824770.0,203,123,4062.906403940887
2025-W44,1112260.0,215,130,5173.302325581395
2025-W45,1272330.0,247,169,5151.133603238866
2025-W46,1329300.0,268,156,4960.074626865671
2025-W47,1245920.0,253,170,4924.584980237154
2025-W48,1528850.0,259,181,5902.895752895753
2025-W49,1470150.0,278,170,5288.309352517986
2025-W50,1521380.0,288,172,5282.569444444444
2025-W51,2070364.0,331,218,6254.876132930513
2025-W52,1411810.0,237,181,5957.004219409283
2026-W01,2515130.0,285,155,8825.017543859649
2026-W02,1348270.0,288,192,4681.493055555556
2026-W03,1494610.0,279,177,5357.025089605735
2026-W04,1297390.0,281,191,4617.046263345196
2026-W05,1497730.0,281,191,5330.0
2026-W06,1199870.0,201,142,5969.502487562189
2026-W07,1451060.0,280,194,5182.357142857143
2026-W08,1628490.0,264,195,6168.522727272727
2026-W09,1594390.0,274,192,5818.941605839416
2026-W10,1200.0,0,1,inf
2026-W11,937700.0,211,170,4444.075829383886
2026-W12,1452770.0,272,203,5341.066176470588
2026-W13,1305980.0,242,162,5396.611570247934
2026-W15,1374200.0,267,167,5146.816479400749
