year_week,売上,客数,組数,客単価
2024-W01,437230,57,29,7670.701754385965
2024-W02,1224220,184,73,6653.369565217391
2024-W03,827560,127,68,6516.220472440945
2024-W04,1063450,195,78,5453.589743589743
2024-W05,753890,128,59,5889.765625
2024-W06,924210,172,76,5373.313953488372
2024-W07,1039440,205,102,5070.4390243902435
2024-W08,801590,170,56,4715.235294117647
2024-W09,414890,81,42,5122.098765432099
2024-W10,542420,107,55,5069.345794392523
2024-W11,717330,125,55,5738.64
2024-W12,1061810,229,88,4636.724890829694
2024-W13,783440,190,73,4123.368421052632
2024-W14,705470,145,72,4865.310344827586
2024-W15,859520,202,81,4255.049504950495
2024-W16,778770,154,66,5056.948051948052
2024-W17,751940,173,73,4346.473988439307
2024-W18,854180,194,71,4402.98969072165
2024-W19,1114630,168,72,6634.702380952381
2024-W20,807420,153,67,5277.254901960784
2024-W21,899310,194,77,4635.618556701031
2024-W22,983260,167,55,5887.784431137725
2024-W23,955250,164,55,5824.695121951219
2024-W24,680490,120,50,5670.75
2024-W25,735790,147,55,5005.374149659864
2024-W26,722640,161,57,4488.447204968944
2024-W27,661500,141,67,4691.489361702128
2024-W28,1184770,144,55,8227.569444444445
2024-W29,1099890,212,85,5188.16037735849
2024-W30,950020,149,43,6375.973154362416
2024-W31,831640,143,52,5815.664335664335
2024-W32,568710,120,58,4739.25
2024-W33,659750,111,52,5943.693693693694
2024-W34,576310,122,47,4723.852459016393
2024-W35,629110,114,49,5518.508771929824
2024-W36,1045640,195,70,5362.25641025641
2024-W37,1027920,169,59,6082.366863905326
2024-W38,772590,146,59,5291.712328767123
2024-W39,1333690,228,89,5849.517543859649
2024-W40,1124060,189,82,5947.407407407408
2024-W41,869340,149,65,5834.496644295302
2024-W42,965930,193,78,5004.818652849741
2024-W43,1097790,243,93,4517.6543209876545
2024-W44,1185750,258,103,4595.930232558139
2024-W45,855740,178,73,4807.528089887641
2024-W46,658900,118,58,5583.8983050847455
2024-W47,728120,163,67,4466.993865030675
2024-W48,990950,194,70,5107.98969072165
2024-W49,1085490,184,63,5899.402173913043
2024-W50,1226870,248,79,4947.056451612903
2024-W51,1183350,197,56,6006.852791878173
2024-W52,1076450,168,65,6407.440476190476
2025-W01,465100,110,41,4228.181818181818
2025-W02,529620,120,47,4413.5
2025-W03,557460,123,56,4532.195121951219
2025-W04,1023250,165,51,6201.515151515152
2025-W05,705050,145,54,4862.413793103448
2025-W06,665070,158,51,4209.303797468355
2025-W07,930440,196,66,4747.142857142857
2025-W08,741000,161,66,4602.484472049689
2025-W09,814630,202,67,4032.8217821782177
2025-W10,767940,172,83,4464.767441860465
2025-W11,860260,199,57,4322.914572864322
2025-W12,767520,164,70,4680.0
2025-W13,879980,182,59,4835.054945054945
2025-W14,1138960,216,70,5272.962962962963
2025-W15,781210,174,76,4489.712643678161
2025-W16,944970,202,75,4678.069306930693
2025-W17,734510,163,65,4506.196319018405
2025-W18,861650,199,60,4329.899497487437
2025-W19,820700,132,53,6217.424242424242
2025-W20,822090,155,56,5303.806451612903
2025-W21,692330,133,58,5205.488721804511
2025-W22,517940,106,47,4886.226415094339
2025-W23,500460,109,51,4591.376146788991
2025-W24,509460,95,40,5362.736842105263
2025-W25,662350,144,40,4599.652777777777
2025-W26,649850,122,50,5326.639344262295
2025-W27,756130,141,50,5362.624113475177
2025-W28,694820,150,60,4632.133333333333
2025-W29,655130,161,56,4069.1304347826085
2025-W30,624550,152,56,4108.881578947368
2025-W31,515760,102,39,5056.470588235294
2025-W32,1022910,116,44,8818.189655172413
2025-W33,693500,115,54,6030.434782608696
2025-W34,752300,145,50,5188.275862068966
2025-W35,476530,104,37,4582.0192307692305
2025-W36,458500,74,34,6195.945945945946
2025-W37,624630,122,44,5119.918032786885
2025-W38,840410,161,56,5219.937888198758
2025-W39,355040,78,37,4551.794871794872
2025-W40,523890,110,37,4762.636363636364
2025-W41,575310,117,42,4917.179487179487
2025-W42,782700,168,47,4658.928571428572
2025-W43,617990,104,48,5942.211538461538
2025-W44,669240,113,42,5922.477876106194
2025-W45,785490,155,54,5067.677419354839
2025-W46,896590,166,55,5401.144578313253
2025-W47,766290,157,50,4880.828025477707
2025-W48,775230,154,60,5033.961038961039
2025-W49,703980,139,34,5064.604316546763
2025-W50,989770,171,43,5788.12865497076
2025-W51,1258060,197,56,6386.091370558375
2025-W52,1020440,180,72,5669.111111111111
2026-W01,535580,113,47,4739.646017699115
2026-W02,480250,75,21,6403.333333333333
2026-W03,828110,136,45,6089.044117647059
2026-W04,646470,118,39,5478.559322033899
2026-W05,654030,139,53,4705.251798561151
2026-W06,548290,98,34,5594.7959183673465
2026-W07,640040,129,44,4961.550387596899
2026-W08,761790,125,37,6094.32
2026-W09,842190,111,51,7587.2972972972975
2026-W10,476360,71,32,6709.295774647887
2026-W11,514000,84,37,6119.047619047619
2026-W12,78750,16,8,4921.875
